"ProjectKey","ProjectName","Branch","IsMain","QualityGate","LastAnalysisDate","RepositoryURL"
"DXP-AMAZON-WARRANTY-V3","DXP-AMAZON-WARRANTY-V3","DEV","True","OK","2026-08-11T11:44:26+0300",""
"DXP-BFF-AAMAL-ESERVICES","DXP-BFF-AAMAL-ESERVICES","DEV","True","OK","2026-08-04T12:05:46+0300",""
"DXP-BFF-AAMAL-ESERVICES","DXP-BFF-AAMAL-ESERVICES","QC","False","ERROR","2026-06-25T14:43:37+0300",""
"DXP-BFF-WEB","DXP-BFF-WEB","DEV","True","OK","2026-09-02T10:11:56+0300","https://bitbucket.tawn.com/projects/DXP/repos/bff-web"
"DXP-BFF-WEB","DXP-BFF-WEB","QC","False","OK","2026-06-08T10:40:11+0300","https://bitbucket.tawn.com/projects/DXP/repos/bff-web"
"DXP-BFF-WEB","DXP-BFF-WEB","UAT","False","ERROR","2026-06-08T10:59:04+0300","https://bitbucket.tawn.com/projects/DXP/repos/bff-web"
"DXP-CXP-PXP","DXP-CXP-PXP","DEV","True",,,""
"DXP-CXP-PXP","DXP-CXP-PXP","PROD","False","ERROR","2026-08-05T10:39:43+0300",""
"DXP-DH-CIVIL-LIABILITY-V3","DXP-DH-CIVIL-LIABILITY-V3","DEV","True","OK","2026-08-17T10:06:38+0300",""
"DXP-DH-CIVIL-LIABILITY-V3","DXP-DH-CIVIL-LIABILITY-V3","PROD","False","OK","2026-08-06T11:56:19+0300",""
"DXP-DH-CIVIL-LIABILITY-V3","DXP-DH-CIVIL-LIABILITY-V3","QC","False","OK","2026-08-25T14:16:16+0300",""
"DXP-DH-CIVIL-LIABILITY-V3","DXP-DH-CIVIL-LIABILITY-V3","UAT","False","OK","2026-08-24T13:09:43+0300",""
"DXP-DH-Event-Ticketing-System","DXP-DH-Event-Ticketing-System","DEV","True","OK","2026-07-29T14:32:34+0300",""
"DXP-DH-Event-Ticketing-System","DXP-DH-Event-Ticketing-System","QC","False","OK","2026-09-01T17:00:27+0300",""
"DXP-DH-RECOVERY-PORTAL-V3","DXP-DH-RECOVERY-PORTAL-V3","DEV","True","OK","2026-06-04T11:18:45+0300",""
"DXP-DH-RECOVERY-PORTAL-V3","DXP-DH-RECOVERY-PORTAL-V3","PROD","False","OK","2026-07-14T13:54:55+0300",""
"DXP-DH-RECOVERY-PORTAL-V3","DXP-DH-RECOVERY-PORTAL-V3","QC","False","OK","2026-08-20T12:06:39+0300",""
"DXP-DH-TAWUNIYA-AAMAL-SERVICES-V3","DXP-DH-TAWUNIYA-AAMAL-SERVICES-V3","DEV","True","OK","2026-08-03T15:51:07+0300",""
"DXP-DH-WORKSHOP-PORTAL-V3","DXP-DH-WORKSHOP-PORTAL-V3","DEV","True","OK","2026-06-23T14:31:04+0300",""
"DXP-DH-WORKSHOP-PORTAL-V3","DXP-DH-WORKSHOP-PORTAL-V3","PROD","False","OK","2026-07-14T16:24:01+0300",""
"DXP-DH-WORKSHOP-PORTAL-V3","DXP-DH-WORKSHOP-PORTAL-V3","QC","False","OK","2026-06-23T23:00:36+0300",""
"DXP-DH-WORKSHOP-PORTAL-V3","DXP-DH-WORKSHOP-PORTAL-V3","UAT","False","OK","2026-06-25T10:45:57+0300",""
"DXP-FE-HOME-INSURANCE-V3","DXP-FE-HOME-INSURANCE-V3","DEV","True","OK","2026-07-01T11:11:07+0300",""
"DXP-FE-HOME-INSURANCE-V3","DXP-FE-HOME-INSURANCE-V3","PROD","False","OK","2026-08-06T11:28:58+0300",""
"DXP-FE-HOME-INSURANCE-V3","DXP-FE-HOME-INSURANCE-V3","QC","False","OK","2026-08-26T16:08:09+0300",""
"DXP-FE-HOME-INSURANCE-V3","DXP-FE-HOME-INSURANCE-V3","UAT","False","OK","2026-09-01T14:29:33+0300",""
"DXP-FE-Life-OTP","DXP-FE-Life-OTP","DEV","True","OK","2026-06-09T12:33:21+0300",""
"DXP-FE-Life-OTP","DXP-FE-Life-OTP","PROD","False","OK","2026-07-22T11:35:41+0300",""
"DXP-FE-Life-OTP","DXP-FE-Life-OTP","QC","False","OK","2026-07-23T09:52:24+0300",""
"DXP-FE-Life-OTP","DXP-FE-Life-OTP","UAT","False","OK","2026-06-17T09:30:21+0300",""
"DXP-FE-MEDICAL-MALPRACTICE-V3","DXP-FE-MEDICAL-MALPRACTICE-V3","DEV","True","OK","2026-08-17T12:16:54+0300",""
"DXP-FE-MEDICAL-MALPRACTICE-V3","DXP-FE-MEDICAL-MALPRACTICE-V3","PROD","False","OK","2026-08-06T11:42:16+0300",""
"DXP-FE-MEDICAL-MALPRACTICE-V3","DXP-FE-MEDICAL-MALPRACTICE-V3","QC","False","OK","2026-08-26T16:08:18+0300",""
"DXP-FE-MEDICAL-MALPRACTICE-V3","DXP-FE-MEDICAL-MALPRACTICE-V3","UAT","False","OK","2026-07-14T11:44:36+0300",""
"DXP-FE-SALES-MOTOR-V3","DXP-FE-SALES-MOTOR-V3","DEV","True","OK","2026-06-29T15:11:37+0300",""
"DXP-FE-SALES-MOTOR-V3","DXP-FE-SALES-MOTOR-V3","PROD","False","OK","2026-08-25T14:13:29+0300",""
"DXP-FE-SALES-MOTOR-V3","DXP-FE-SALES-MOTOR-V3","QC","False","OK","2026-09-02T15:42:15+0300",""
"DXP-FE-SALES-MOTOR-V3","DXP-FE-SALES-MOTOR-V3","UAT","False","OK","2026-09-02T15:41:45+0300",""
"DXP-FE-SALES-PAYMENT-V3","DXP-FE-SALES-PAYMENT-V3","DEV","True","OK","2026-08-11T11:33:17+0300",""
"DXP-FE-SALES-PAYMENT-V3","DXP-FE-SALES-PAYMENT-V3","QC","False","OK","2026-08-18T11:16:57+0300",""
"DXP-FE-SALES-VISIT-VISA-V3","DXP-FE-SALES-VISIT-VISA-V3","DEV","True","OK","2026-06-04T12:12:47+0300",""
"DXP-FE-SALES-VISIT-VISA-V3","DXP-FE-SALES-VISIT-VISA-V3","PROD","False","OK","2026-07-19T14:48:13+0300",""
"DXP-FE-SALES-VISIT-VISA-V3","DXP-FE-SALES-VISIT-VISA-V3","QC","False","OK","2026-09-01T10:07:21+0300",""
"DXP-FE-TRAVEL-INSURANCE-V3","DXP-FE-TRAVEL-INSURANCE-V3","DEV","True","OK","2026-08-23T10:54:57+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-FE-TRAVEL-INSURANCE-V3","DXP-FE-TRAVEL-INSURANCE-V3","PROD","False","OK","2026-08-04T14:56:16+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-FE-TRAVEL-INSURANCE-V3","DXP-FE-TRAVEL-INSURANCE-V3","QC","False","OK","2026-08-31T12:06:16+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-FE-TRAVEL-INSURANCE-V3","DXP-FE-TRAVEL-INSURANCE-V3","UAT","False","OK","2026-09-01T14:29:28+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-INCOME-PROTECTION-INSURANCE-V3","DXP-INCOME-PROTECTION-INSURANCE-V3","DEV","True","OK","2026-08-25T11:36:53+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-INCOME-PROTECTION-INSURANCE-V3","DXP-INCOME-PROTECTION-INSURANCE-V3","PROD","False","OK","2026-08-06T11:42:30+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-INCOME-PROTECTION-INSURANCE-V3","DXP-INCOME-PROTECTION-INSURANCE-V3","UAT","False","OK","2026-08-24T12:27:41+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-general-v3"
"DXP-MOTOR_FAMILY","DXP-MOTOR_FAMILY","DEV","True","OK","2026-08-23T14:52:46+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-motor-v3"
"DXP-MOTOR_FAMILY","DXP-MOTOR_FAMILY","QC","False","OK","2026-08-30T10:30:45+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-motor-v3"
"DXP-MOTOR_FAMILY","DXP-MOTOR_FAMILY","UAT","False","OK","2026-08-30T10:17:39+0300","https://bitbucket.tawn.com/projects/DXP/repos/dh-motor-v3"
"DXP-NOURAH-V3","DXP-NOURAH-V3","DEV","True","OK","2026-07-19T11:19:50+0300",""
"DXP-NOURAH-V3","DXP-NOURAH-V3","PROD","False","OK","2026-08-06T11:56:17+0300",""
"DXP-NOURAH-V3","DXP-NOURAH-V3","QC","False","OK","2026-08-30T16:52:12+0300",""
