analysis_date,project_key,branch,bugs,vulnerabilities,code_smells,security_hotspots,coverage,duplication,reliability_rating,security_rating,maintainability_rating,alert_status
2026-05-07T09:00:06+0300,DXP-BFF-WEB,DEV,0,0,13,0,24.3,8.2,A,A,A,ERROR
2026-05-07T09:00:28+0300,DXP-BFF-WEB,DEV,0,0,13,0,24.3,8.2,A,A,A,ERROR
2026-05-07T11:17:07+0300,DXP-BFF-WEB,DEV,0,0,14,0,28.8,8.2,A,A,A,ERROR
2026-05-07T15:01:07+0300,DXP-BFF-WEB,DEV,0,0,14,0,28.8,8.2,A,A,A,ERROR
2026-05-10T16:32:08+0300,DXP-BFF-WEB,DEV,0,0,86,0,45.7,8.2,A,A,A,OK
2026-05-11T10:57:22+0300,DXP-BFF-WEB,DEV,0,0,78,0,45.7,7.7,A,A,A,OK
2026-05-12T12:56:26+0300,DXP-BFF-WEB,DEV,0,0,78,0,45.7,7.7,A,A,A,ERROR
2026-05-12T13:00:39+0300,DXP-BFF-WEB,DEV,0,0,78,0,45.7,7.7,A,A,A,ERROR
2026-05-13T09:17:49+0300,DXP-BFF-WEB,DEV,0,0,78,0,45.7,7.7,A,A,A,ERROR
2026-05-13T10:27:45+0300,DXP-BFF-WEB,DEV,0,0,45,0,45.7,7.5,A,A,A,ERROR
2026-05-13T11:46:09+0300,DXP-BFF-WEB,DEV,0,0,6,0,45.7,7.5,A,A,A,ERROR
2026-05-13T15:17:53+0300,DXP-BFF-WEB,DEV,0,0,6,0,45.7,7.5,A,A,A,ERROR
2026-05-14T09:02:47+0300,DXP-BFF-WEB,DEV,0,0,6,0,45.7,7.5,A,A,A,OK
2026-05-14T10:21:49+0300,DXP-BFF-WEB,DEV,0,0,6,0,45.7,7.5,A,A,A,OK
2026-05-14T10:22:10+0300,DXP-BFF-WEB,DEV,0,0,6,0,45.7,7.5,A,A,A,OK
2026-05-14T13:54:48+0300,DXP-BFF-WEB,DEV,0,2,46,0,45.7,7.5,A,D,A,ERROR
2026-05-14T14:34:22+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.7,7.5,A,A,A,OK
2026-06-04T10:37:49+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-06-04T10:50:25+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-06-04T13:00:06+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-06-08T09:49:47+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-06-08T09:53:48+0300,DXP-BFF-WEB,DEV,0,0,23,0,45.6,7.5,A,A,A,ERROR
2026-06-08T10:11:06+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-06-28T10:44:47+0300,DXP-BFF-WEB,DEV,0,0,20,0,45.6,7.5,A,A,A,OK
2026-05-06T14:56:43+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,6,0,221,1,39.3,10.9,C,A,A,ERROR
2026-05-07T14:30:06+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,6,0,222,1,39.3,10.9,C,A,A,ERROR
2026-05-07T15:07:34+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,6,0,222,1,39.3,10.9,C,A,A,ERROR
2026-05-10T14:54:43+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,6,0,318,1,41.8,10.9,C,A,A,OK
2026-05-11T13:42:05+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,1,42.5,11.3,C,A,A,OK
2026-05-12T12:13:10+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,1,42.5,11.3,C,A,A,ERROR
2026-05-12T12:58:37+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,1,42.5,11.3,C,A,A,ERROR
2026-05-14T09:30:35+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,1,42.5,11.3,C,A,A,ERROR
2026-05-14T15:56:05+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,1,42.5,11.3,C,A,A,ERROR
2026-05-17T14:49:47+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,2,0,23,0,42.5,11.3,C,A,A,OK
2026-06-03T12:05:23+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,0,0,28,0,42.7,11.4,A,A,A,OK
2026-06-04T11:18:45+0300,DXP-DH-RECOVERY-PORTAL-V3,DEV,0,0,28,0,42.7,11.4,A,A,A,OK
2026-04-13T11:06:21+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,28,0,267,4,0,17,C,A,A,OK
2026-04-13T16:19:26+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,28,0,267,4,0,17,C,A,A,OK
2026-04-28T14:08:35+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,26,0,212,1,0,17,C,A,A,OK
2026-04-29T11:14:38+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,15,0,191,1,0,17.1,C,A,A,OK
2026-04-29T12:51:30+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,11,0,62,0,0,17.1,C,A,A,OK
2026-04-29T15:04:28+0300,DXP-DH-WORKSHOP-PORTAL-V3,DEV,11,0,62,0,0,17.1,C,A,A,OK
