"analysis_date","project_key","branch","version","quality_gate","revision","detected_ci"
"2026-05-07T09:00:06+0300","DXP-BFF-WEB","DEV","R20-DXP-v0.0.1-DEV","Failed",,"Jenkins"
"2026-05-07T09:00:28+0300","DXP-BFF-WEB","DEV","R2-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-07T11:17:07+0300","DXP-BFF-WEB","DEV","R21-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-07T15:01:07+0300","DXP-BFF-WEB","DEV","R22-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-10T16:32:08+0300","DXP-BFF-WEB","DEV","R28-DXP-v0.0.1-DEV","Passed",,"Jenkins"
"2026-05-11T10:57:22+0300","DXP-BFF-WEB","DEV","R29-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-12T12:56:26+0300","DXP-BFF-WEB","DEV","R30-DXP-v0.0.1-DEV","Failed",,"Jenkins"
"2026-05-12T13:00:39+0300","DXP-BFF-WEB","DEV","R3-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-13T09:17:49+0300","DXP-BFF-WEB","DEV","R31-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-13T10:27:45+0300","DXP-BFF-WEB","DEV","R32-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-13T11:46:09+0300","DXP-BFF-WEB","DEV","R33-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-13T15:17:53+0300","DXP-BFF-WEB","DEV","R34-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-14T09:02:47+0300","DXP-BFF-WEB","DEV","R35-DXP-v0.0.1-DEV","Passed",,"Jenkins"
"2026-05-14T10:21:49+0300","DXP-BFF-WEB","DEV","R4-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-14T10:22:10+0300","DXP-BFF-WEB","DEV","R36-DXP-v0.0.1-DEV","",,"Jenkins"
"2026-05-14T13:54:48+0300","DXP-BFF-WEB","DEV","R37-DXP-v0.0.1-DEV","Failed",,"Jenkins"
"2026-05-14T14:34:22+0300","DXP-BFF-WEB","DEV","R38-DXP-v0.0.1-DEV","Passed",,"Jenkins"
"2026-06-04T10:37:49+0300","DXP-BFF-WEB","DEV","R7-DXP-v0.0.1-DEV","","34f6dc12de97e7973869770a7c84ac66cfa5e2fe","Jenkins"
"2026-06-04T10:50:25+0300","DXP-BFF-WEB","DEV","R41-DXP-v0.0.1-DEV","","34f6dc12de97e7973869770a7c84ac66cfa5e2fe","Jenkins"
"2026-06-04T13:00:06+0300","DXP-BFF-WEB","DEV","R8-DXP-v0.0.1-DEV","","34f6dc12de97e7973869770a7c84ac66cfa5e2fe","Jenkins"
"2026-06-08T09:49:47+0300","DXP-BFF-WEB","DEV","R42-DXP-v0.0.1-DEV","","75f649c54e789a1d9239a11d7b54a8561315dd62","Jenkins"
"2026-06-08T09:53:48+0300","DXP-BFF-WEB","DEV","R43-DXP-v0.0.1-DEV","Failed","6dee4999a91f3b8cf81feb3b9720cb256fd96dee","Jenkins"
"2026-06-08T10:11:06+0300","DXP-BFF-WEB","DEV","R44-DXP-v0.0.1-DEV","Passed","d4519c64ab7cde45d5e9796fa1db53884d7f9540","Jenkins"
